"Requirement ID","Type","Requirement Summary","Covered By Stories","Covered By Artifacts","Validation"
"FR01","Functional","Registration, login, logout and session entry","US-01; US-02; US-03","SRS.pdf; user-story-backlog.pdf; balsamiq-wireframe-script.md","Manual happy-path test and auth API checks"
"FR02","Functional","Workspace management and membership","US-06; US-07; US-09; US-10","SRS.pdf; team-charter.pdf; user-story-backlog.pdf","Role-based scenario walkthrough"
"FR03","Functional","Roles and permissions","US-04; US-08; US-14; US-41","SRS.pdf; team-charter.pdf; traceability-matrix.csv","Permission matrix review and negative tests"
"FR04","Functional","Project creation, editing and archiving","US-11; US-12; US-13; US-14","SRS.pdf; balsamiq-wireframe-script.md; user-story-backlog.pdf","Manager workflow validation"
"FR05","Functional","Task creation and editing","US-16; US-17; US-19; US-20","SRS.pdf; balsamiq-wireframe-script.md; user-story-backlog.pdf","Create-edit-archive task test"
"FR06","Functional","Task status changes and board flow","US-21; US-23","SRS.pdf; balsamiq-wireframe-script.md; Sequence diagram.txt","Board interaction and concurrency review"
"FR07","Functional","Assignee and deadline management","US-18","SRS.pdf; balsamiq-wireframe-script.md; user-story-backlog.pdf","Task detail scenario validation"
"FR08","Functional","Task history and change trace","US-20; US-22; US-25; US-39","SRS.pdf; Sequence diagram.txt; Concurrency Diagrams","Audit log and conflict scenario checks"
"FR09","Functional","Comments and mentions","US-26; US-27","SRS.pdf; Sequence diagram.txt; user-story-backlog.pdf","Comment thread walkthrough"
"FR10","Functional","Realtime updates for task changes","US-28","SRS.pdf; Sequence diagram.txt; Concurrency Diagrams","Realtime event and fallback verification"
"FR11","Functional","Attachments for tasks","US-29; US-30","SRS.pdf; user-story-backlog.pdf","Upload/download permission checks"
"FR12","Functional","Notifications and reminders","US-05; US-27; US-33; US-34; US-35","SRS.pdf; balsamiq-wireframe-script.md; user-story-backlog.pdf","Notification center walkthrough"
"FR13","Functional","Manager dashboard and analytics","US-15; US-36; US-37; US-38; US-39; US-40","SRS.pdf; balsamiq-wireframe-script.md; user-story-backlog.pdf","Dashboard scenario validation"
"FR14","Functional","Search and filtering","US-19; US-24; US-31; US-32","SRS.pdf; balsamiq-wireframe-script.md; user-story-backlog.pdf","Search/filter acceptance test"
"NFR-SYS-01","System","Service availability at target SLA","US-44; US-45","SRS.pdf; project-plan.pdf","Ops readiness review"
"NFR-SYS-02","System","Latency and responsive UX","US-46","SRS.pdf; balsamiq-wireframe-script.md; design-description.md","Responsive and perceived performance check"
"NFR-SYS-03","System","Horizontal scalability and websocket growth","US-28","SRS.pdf; Sequence diagram.txt","Architecture review"
"NFR-SYS-04","System","Fault tolerance and retryable event processing","US-25; US-44","SRS.pdf; Concurrency Diagrams; project-plan.pdf","Failure scenario walkthrough"
"NFR-SYS-05","System","Auditability of important actions","US-22; US-43","SRS.pdf; Sequence diagram.txt","Audit trail review"
"NFR-SYS-06","System","Durable storage and backups","US-44; US-50","SRS.pdf; project-plan.pdf","Backup policy and restore checklist"
"NFR-SYS-07","System","Observability and monitoring","US-45","SRS.pdf; project-plan.pdf","Metrics and alerts checklist"
"NFR-SEC-01","Security","Authenticated sessions and refresh","US-01; US-02; US-03","SRS.pdf; user-story-backlog.pdf","Auth boundary test"
"NFR-SEC-02","Security","Backend authorization for every mutation","US-08; US-14; US-41","SRS.pdf; team-charter.pdf","Negative permission test"
"NFR-SEC-03","Security","TLS and encrypted file access","US-30; US-42","SRS.pdf; user-story-backlog.pdf","Secure transport review"
"NFR-SEC-04","Security","Input validation and abuse protection","US-17; US-26","SRS.pdf; user-story-backlog.pdf","Validation and malicious input checklist"
"NFR-SEC-05","Security","Immutable security logs","US-43","SRS.pdf; project-plan.pdf","Security audit review"
"NFR-SEC-06","Security","Attachment access control","US-29; US-30; US-42","SRS.pdf; user-story-backlog.pdf","Attachment permission test"
"NFR-SEC-07","Security","Personal data minimization and deletion policy","US-05","SRS.pdf; user-story-backlog.pdf","PII handling review"
"NFR-DOC-01","Documentation","API documentation","US-49","SRS.pdf","Documentation completeness check"
"NFR-DOC-02","Documentation","User guide for manager and member","US-40; US-47; US-48","team-charter.pdf; design-description.md; README.md","User walkthrough against docs"
"NFR-DOC-03","Documentation","Role and permission description","US-04; US-49","team-charter.pdf; README.md","Role matrix review"
"NFR-DOC-04","Documentation","Architecture documentation","US-50","SRS.pdf; Sequence diagram.txt; UML diadram.txt","Architecture artifact review"
"NFR-DOC-05","Documentation","Runbook and incident actions","US-45; US-50","project-plan.pdf","Ops checklist review"
"NFR-DOC-06","Documentation","Backup and recovery policy","US-44; US-50","project-plan.pdf","Recovery policy review"
